id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
146306352,2021-07-06,11164,4,107,0,11009,0,12.50914,-69.97044,AW,ABW,Aruba,,,,2025-10-11T00:06:33.8734980
155873905,2021-08-20,43119,891,974,3,,,-25.57894,134.3597,AU,AUS,Australia,,,,2025-10-11T00:06:33.8734980
101639806,2021-01-03,118,0,3,0,114,0,-35.48873,149.0029,AU,AUS,Australia,Australian Capital Territory,AU-ACT,,2025-10-11T00:06:33.8734980
212197271,2022-10-01,205818,66,126,1,,,-35.48873,149.0029,AU,AUS,Australia,Australian Capital Territory,AU-ACT,,2025-10-11T00:06:33.8734980
162090972,2021-10-04,65279,611,426,10,0,0,-32.16737,147.0129,AU,AUS,Australia,New South Wales,AU-NSW,,2025-10-11T00:06:33.8734980
79732670,2020-10-28,33,0,0,0,33,0,-19.48195,133.3698,AU,AUS,Australia,Northern Territory,AU-NT,,2025-10-11T00:06:33.8734980
217010067,2022-11-04,98763,45,75,0,,,-19.48195,133.3698,AU,AUS,Australia,Northern Territory,AU-NT,,2025-10-11T00:06:33.8734980
175527680,2022-01-18,245633,15516,29,0,0,0,-22.5757,144.5353,AU,AUS,Australia,Queensland,AU-QLD,,2025-10-11T00:06:33.8734980
123162336,2021-03-16,638,2,4,0,620,0,-30.07952,135.8282,AU,AUS,Australia,South Australia,AU-SA,,2025-10-11T00:06:33.8734980
4566822,2020-04-09,111,4,3,0,,,-42.02942,146.5904,AU,AUS,Australia,Tasmania,AU-TAS,,2025-10-11T00:06:33.8734980
198315446,2022-06-27,184078,801,89,0,,,-42.02942,146.5904,AU,AUS,Australia,Tasmania,AU-TAS,,2025-10-11T00:06:33.8734980
161337890,2021-09-28,34844,633,841,0,23678,0,-36.86429,144.3104,AU,AUS,Australia,Victoria,AU-VIC,,2025-10-11T00:06:33.8734980
89786571,2020-11-30,821,2,9,0,788,3,-25.46903,122.1877,AU,AUS,Australia,Western Australia,AU-WA,,2025-10-11T00:06:33.8734980
217329363,2022-11-09,1186656,1004,714,0,,,-25.46903,122.1877,AU,AUS,Australia,Western Australia,AU-WA,,2025-10-11T00:06:33.8734980
187036257,2022-04-11,3987385,10635,16208,40,,,47.58709,14.14129,AT,AUT,Austria,,,,2025-10-11T00:06:33.8734980
161023849,2021-09-26,19837,22,336,0,19056,32,47.54349,16.52266,AT,AUT,Austria,Burgenland,AT-1,,2025-10-11T00:06:33.8734980
112019579,2021-02-01,26048,115,618,2,24434,126,46.77396,13.91768,AT,AUT,Austria,Carinthia,,,2025-10-11T00:06:33.8734980
34411557,2020-06-22,2958,3,100,0,2769,19,48.27218,15.75166,AT,AUT,Austria,Lower Austria,,,2025-10-11T00:06:33.8734980
338995,2020-01-21,262,,0,,,,,,,,Worldwide,,,,2025-10-11T00:06:33.8734980
40158179,2020-07-04,32951,279,826,7,19164,1833,33.83114,66.02471,AF,AFG,Afghanistan,,,,2025-10-11T00:06:33.8734980
221631203,2022-12-13,206702,99,7839,0,,,33.83114,66.02471,AF,AFG,Afghanistan,,,,2025-10-11T00:06:33.8734980
201291163,2022-07-17,296717,934,3517,0,,,41.13929,20.06431,AL,ALB,Albania,,,,2025-10-11T00:06:33.8734980
177918072,2022-02-04,256321,485,6618,25,,,28.15509,2.67875,DZ,DZA,Algeria,,,,2025-10-11T00:06:33.8734980
160570367,2021-09-23,3,0,0,0,,,-14.30069,-170.7181,AS,ASM,American Samoa,,,,2025-10-11T00:06:33.8734980
145985523,2021-07-05,14003,17,127,0,13721,0,42.5453,1.57629,AD,AND,Andorra,,,,2025-10-11T00:06:33.8734980
